analysis_date_time,dirPath,solidity[U],arc_solidity[u],separated_delay[us],faced_delay[us],regament_max_delay[us],max_regament_length[pix],main_average_velocity[pix/us],main_average_velocity[m/s],main_velocity_stddiv[pix/us],main_angle[degrees],satellite_average_velocity[pix/us],satellite_average_velocity[m/s],satellite_velocity_stddiv[pix/us],satellite_angle[degrees],main-satellite_angle_diff[degrees],main_linearity_error[pix],satellite_linearity_error[pix],most_freq_Y[pix],CODE_VER,main_velocity_is_too_fast,main_velocity_is_too_slow,nozzle_is_needed_to_clean,suspicious_visco-elasticity,angle-diff_is_too_large,THRESH_VALUES_VER,num_contours_at_first,abnormal_ejaction,condition,camera_resolution,API_VER,max_regament_delay[us],CONTOUR_CODE_VER,AUTO_TRACKING_CODE_VER,flag_droplet_faced,flag_droplet_separated,camera_resolution[um/pix],file_name,anormaly_ejections_at_first_image,nozzle_needs_to_be_clean,exotic-droplet_exists,layered_main_0_ave[pix/us],layered_main_0_stdiv[pix/us],layered_sat_0_ave[pix/us],layered_main_1_ave[pix/us],layered_main_1_stdiv[pix/us],layered_sat_1_ave[pix/us],layered_main_2_ave[pix/us],layered_main_2_stdiv[pix/us],layered_sat_2_ave[pix/us],layered_main_3_ave[pix/us],layered_main_3_stdiv[pix/us],layered_sat_3_ave[pix/us],layered_main_4_ave[pix/us],layered_main_4_stdiv[pix/us],layered_sat_4_ave[pix/us],RESERVED0,RESERVED1,RESERVED2,RESERVED3,RESERVED4
2020-10-21_15:06:33,T1172_吐出画像20200330102520,1.0123927167722788,0.9815393433247402,322.6,194.0,,376.2,0.6624773676737798,2.318670786858229,0.3597893641771279,3.7367674420533343,0.4041066983194869,1.414373444118204,0.4830855131181259,14.793864952298875,11.05709751024554,2.285903286152916,13.262344368402696,14.0,,False,True,False,False,True,0.1.3,1.0,False,,,0.0.0,113.18679251573481,0.0.1,0.0.0,True,True,3.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_15:36:57,E0893_吐出画像20201019143627,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_15:40:13,E0893_吐出画像20201019143627,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_15:42:53,E0893_吐出画像20201019143627,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_15:44:28,E0893_吐出画像20201019143627,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_15:48:46,E0893_吐出画像20201019143627,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_15:50:59,E0893_吐出画像20201019143627,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_15:54:28,E0893_吐出画像20201019143627,1.0202970858373963,0.9892421608300952,276.7,201.7,,276.7,1.9157445126035089,6.7051057941122805,0.17944026147138914,2.5195932313091984,1.0858373304086912,3.8004306564304193,0.3487345013325672,4.742139598048987,2.2225463667397887,1.453009267960283,4.431982204680082,7.0,,False,False,True,False,True,0.1.3,1.0,False,,,0.0.0,215.00523249446744,0.0.1,0.0.0,True,True,3.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_16:00:19,SMZ_test,1.0146209386281588,0.9803613106925676,340.0,160.0,,360.0,0.9287847262721072,3.250746541952376,0.7829098766183725,-0.9179603216954956,2.4691437772490854,8.642003220371798,7.380849198902402,-1.9281278255661127,1.0101675038706175,1.4811270760430657,0.8703137687043352,4.0,,False,True,False,False,False,0.1.3,1.0,False,,,0.0.0,213.0211257129208,0.0.1,0.0.0,True,True,3.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_16:07:32,E1657_吐出画像20201016140736,1.0134934339986346,0.9869093620361772,269.0,180.7,,303.6,1.9627602829039992,6.869660990163998,1.1593588289131669,0.5751591852881209,1.0221414117717411,3.5774949412010946,0.30903123287841155,-1.3087435026950656,1.8839026879831864,2.0663954399492748,2.5966011173734387,8.0,,False,False,False,False,True,0.1.3,1.0,False,,,0.0.0,239.10248848558643,0.0.1,0.0.0,True,True,3.5,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_17:22:53,E1657_吐出画像20201016140736,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_17:25:06,E1657_吐出画像20201016140736,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_17:26:42,E1657_吐出画像20201016140736,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_17:29:10,E1657_吐出画像20201016160740,,,,,,,,,,,,,,,,,,,,,,,,,,,,get_feature_params was failure.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-21_17:49:25,,1.0355029585798816,0.9813942792350318,296.4,180.7,,296.4,2.0450898528094266,7.1578144848329925,1.2893956807770766,1.4667421940936407,1.0402388954415631,3.6408361340454714,0.4611572777785196,1.5792219002900276,0.11247970619638692,2.7993657379951737,3.0939502134099257,13.0,,False,False,,False,False,0.1.3,1.0,,,,0.0.0,269.0376367722553,0.0.1,0.0.0,True,True,3.5,E1657_吐出画像20201016160740,False,True,False,2.8508062419270823,0.3546935888611073,0.11909297462679055,2.1151319745817747,0.2417673899209649,0.3971370852383616,1.668209466081244,0.14825932408201692,,1.8484976643814799,0.5791896325382442,,2.012888841306097,0.2586103785876453,,,,,,
2020-10-21_20:49:04,,1.0202970858373963,0.9892421608300952,276.7,201.7,,276.7,1.9157445126035089,6.7051057941122805,0.17944026147138914,2.5195932313091984,1.0858373304086912,3.8004306564304193,0.3487345013325672,4.742139598048987,2.2225463667397887,1.453009267960283,4.431982204680082,7.0,,False,False,,False,True,0.1.3,1.0,,,,0.0.0,215.00523249446744,0.0.1,0.0.0,True,True,3.5,E0893_吐出画像20201019143627,False,True,False,,,0.19562365100055,1.9421076531754065,0.028908942475157937,0.13173539129071188,1.922157374096741,0.11234793460959527,0.10590418252715686,1.8810634207905788,0.0009021791908187332,0.058603118553134936,1.8817777588211524,0.04623357390068518,0.002776023764031188,,,,,
